Issue_key,Summary,keyword
HADOOP-16028,Fix NetworkTopology chooseRandom function to support excluded nodes,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster']"
HADOOP-18159,"Certificate doesn't match any of the subject alternative names: [*.s3.amazonaws.com, s3.amazonaws.com]",['connection']
HADOOP-15385,Many tests are failing in hadoop-distcp project in branch-2,['crash']
HADOOP-15548,Randomize local dirs,['election']
HADOOP-18085,S3 SDK Upgrade causes AccessPoint ARN endpoint mistranslation,['region']
HADOOP-17975,Fallback to simple auth does not work for a secondary DistributedFileSystem instance,"['node', 'node', 'cluster', 'cluster', 'cluster', 'replica', 'block', 'block', 'block', 'connection', 'connection', 'connection', 'server', 'server', 'server']"
HADOOP-18222,Prevent DelegationTokenSecretManagerMetrics from registering multiple times ,"['server', 'server', 'server', 'server']"
HADOOP-18321,Fix when to read an additional record from a BZip2 text file split,"['block', 'block', 'block', 'block', 'block', 'block']"
HADOOP-13433,Race in UGI.reloginFromKeytab,"['cluster', 'replica', 'replica', 'replica', 'replica', 'connection', 'connection', 'region', 'region', 'region', 'region', 'race', 'race', 'race', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-16768,SnappyCompressor test cases wrongly assume that the compressed data is always smaller than the input data,['race']
HADOOP-15206,BZip2 drops and duplicates records when input split size is small,"['node', 'cluster']"
HADOOP-15446,WASB: PageBlobInputStream.skip breaks HBASE replication,"['replica', 'replica', 'corrupt']"
HADOOP-17324,Don't relocate org.bouncycastle in shaded client jars,"['cluster', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-15850,CopyCommitter#concatFileChunks should check that the blocks per chunk is not 0,"['consistent', 'block']"
HADOOP-14512,WASB atomic rename should not throw exception if the file is neither in src nor in dst when doing the rename,"['crash', 'crash', 'region', 'region', 'region', 'region', 'region', 'region', 'server', 'server', 'server', 'restart', 'restart']"
HADOOP-17398,Skipping network I/O in S3A getFileStatus(/) breaks some tests,"['network', 'delay']"
HADOOP-14062,ApplicationMasterProtocolPBClientImpl.allocate fails with EOFException when RPC privacy is enabled,"['node', 'cluster', 'block', 'parallel', 'partition']"
HADOOP-18216,"Document ""io.file.buffer.size"" must be greater than zero","['block', 'block']"
HADOOP-14044,Synchronization issue in delegation token cancel functionality,"['node', 'race', 'server', 'server', 'server']"
HADOOP-14636,TestKDiag failing intermittently on Jenkins/Yetus at login from keytab,"['network', 'clock', 'race', 'race']"
