Issue_key,Summary,keyword
KAFKA-10352,Error while reading checkpoint file /tmp/kafka-logs/cleaner-offset-checkpoint (kafka.server.LogDirFailureChannel),"['replica', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'fail', 'fail', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
KAFKA-10598,KafkaStreams reports inappropriate error message for IQ,"['message', 'message']"
KAFKA-14455,Kafka Connect create and update REST APIs should surface failures while writing to the config topic,"['cluster', 'cluster', 'client', 'client', 'fail', 'fail', 'fail', 'fail', 'message']"
KAFKA-10763,Task already exists error on same worker due to skip removal of tasks,"['leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'delay', 'delay', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign']"
KAFKA-9186,Kafka Connect floods logs with probably bogus error messages from DelegatingClassLoader,"['lock', 'message', 'message', 'message']"
KAFKA-14078,Replica fetches to follower should return NOT_LEADER error,"['leader', 'leader', 'follower', 'follower', 'replica', 'replica']"
KAFKA-13017,Excessive logging on sink task deserialization errors,"['fail', 'message', 'message', 'race']"
KAFKA-9492,ProducerResponse with record-level errors throw NPE with older client version,"['client', 'client']"
KAFKA-9880,Error while range compacting during bulk loading of FIFO compacted RocksDB Store,['fail']
KAFKA-13033,coordinator not available error should cause add into unmap list to do a new lookup,"['consistent', 'client', 'client', 'fail']"
KAFKA-14203,KRaft broker should disable snapshot generation after error replaying the metadata log,"['consistent', 'broker', 'broker', 'broker', 'meta']"
KAFKA-9231,Streams Threads may die from recoverable errors with EOS enabled,"['network', 'assign', 'broker', 'client', 'client', 'client', 'client', 'client', 'fail', 'partition', 'partition', 'assign']"
KAFKA-12730,A single Kerberos login failure fails all future connections from Java 9 onwards,"['connection', 'fail', 'fail', 'fail', 'fail']"
KAFKA-13461,KafkaController stops functioning as active controller after ZooKeeperClient auth failure,"['client', 'connection', 'fail', 'fail', 'fail', 'server', 'server']"
KAFKA-14649,"Failures instantiating Connect plugins hides other plugins from REST API, or crash worker","['block', 'crash', 'fail', 'fail', 'fail', 'fail', 'lock']"
KAFKA-14618,Off by one error in generated snapshot IDs causes misaligned fetching,"['follower', 'replica', 'replica', 'fail']"
KAFKA-10388,Casting errors in tagged struct conversion,['message']
KAFKA-13058,`AlterConsumerGroupOffsetsHandler` does not handle partition errors correctly.,"['fail', 'fail', 'partition', 'partition', 'partition', 'partition']"
KAFKA-9577,Client encountering SASL_HANDSHAKE protocol version errors on 2.5 / trunk,"['broker', 'client', 'client']"
KAFKA-8950,KafkaConsumer stops fetching,"['node', 'broker', 'broker', 'message', 'message', 'message', 'partition', 'restart', 'restart']"
