Issue_key,Summary,keyword
HDFS-16064,Determine when to invalidate corrupt replicas based on number of usable replicas,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'consistent', 'consistent', 'consistent', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'corrupt', 'corrupt', 'corrupt', 'server', 'server']"
HDFS-15186,Erasure Coding: Decommission may generate the parity block's content with all 0 in some case,"['cluster', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block']"
HDFS-16303,Losing over 100 datanodes in state decommissioning results in full blockage of all datanode decommissioning,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'block', 'block', 'block', 'race', 'server', 'restart', 'restart']"
HDFS-16689,Standby NameNode crashes when transitioning to Active with in-progress tailer,"['node', 'node', 'node', 'node', 'node', 'node', 'network', 'network', 'crash', 'crash', 'server', 'server', 'server', 'server', 'restart', 'restart']"
HDFS-15900,RBF: empty blockpool id on dfsrouter caused by UNAVAILABLE NameNode,"['block', 'block', 'block', 'block', 'server']"
HDFS-16552,Fix NPE for TestBlockManager,"['block', 'block', 'block', 'block', 'server', 'server', 'server', 'server']"
HDFS-16437,ReverseXML processor doesn't accept XML files without the SnapshotDiffSection.,['cluster']
HDFS-13339,Volume reference can't be released and may lead to deadlock when DataXceiver does a check volume,"['node', 'node', 'node', 'node', 'replica', 'block', 'server', 'server', 'server', 'server']"
HDFS-16111,Add a configuration to RoundRobinVolumeChoosingPolicy to avoid failed volumes at datanodes.,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'delay', 'cluster', 'cluster', 'replica', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'meta', 'meta', 'meta', 'meta', 'meta', 'meta', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-16507,[SBN read] Avoid purging edit log which is in progress,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'remote', 'race', 'race', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-14529,SetTimes to throw FileNotFoundException if inode is not found,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-16853,The UT TestLeaseRecovery2#testHardLeaseRecoveryAfterNameNodeRestart failed because HADOOP-18324,"['node', 'node', 'node', 'node', 'node', 'cluster', 'block', 'block', 'server', 'server', 'server']"
HDFS-16187,SnapshotDiff behaviour with Xattrs and Acls is not consistent across NN restarts with checkpointing,"['cluster', 'cluster', 'consistent', 'consistent', 'restart', 'restart', 'restart']"
HDFS-13977,NameNode can kill itself if it tries to send too many txns to a QJM simultaneously,"['cluster', 'remote', 'block', 'restart']"
HDFS-15792,ClasscastException while loading FSImage,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-15237,"Get checksum of EC file failed, when some block is missing or corrupt","['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'remote', 'block', 'block', 'block', 'corrupt', 'corrupt', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-14604,OEV tool fails to read edit xml file if OP_TRUNCATE has  BLOCK tag,"['block', 'block', 'block', 'block']"
HDFS-14847,Erasure Coding: Blocks are over-replicated while EC decommissioning,"['node', 'node', 'node', 'node', 'node', 'node', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'block', 'block', 'block', 'block', 'block', 'corrupt']"
HDFS-15113,Missing IBR when NameNode restart if open processCommand async feature,"['node', 'block', 'block', 'restart', 'restart', 'restart', 'restart']"
HDFS-14498,LeaseManager can loop forever on the file for which create has failed ,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'replica', 'replica', 'block', 'block', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-14768,EC : Busy DN replica should be consider in live replica check.,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'assign', 'block', 'block', 'block', 'block', 'corrupt', 'assign']"
HDFS-13959,TestUpgradeDomainBlockPlacementPolicy is flaky,"['node', 'node', 'node']"
HDFS-14389,getAclStatus returns incorrect permissions and owner when an iNodeAttributeProvider is configured,"['node', 'node', 'node', 'node', 'node']"
HDFS-16109,Fix flaky some unit tests since they offen timeout,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'restart', 'restart']"
HDFS-14500,NameNode StartupProgress continues to report edit log segments after the LOADING_EDITS phase is finished,"['cluster', 'race']"
HDFS-16269,[Fix] Improve NNThroughputBenchmark#blockReport operation,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'block', 'block', 'block', 'block', 'block', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-16659,JournalNode should throw NewerTxnIdException if SinceTxId is bigger than HighestWrittenTxId,"['node', 'network', 'server', 'server']"
HDFS-16272,Int overflow in computing safe length during EC block recovery,"['recovery', 'recovery', 'block', 'block', 'block', 'block', 'block', 'crash']"
HDFS-16182,numOfReplicas is given the wrong value in  BlockPlacementPolicyDefault$chooseTarget can cause DataStreamer to fail with Heterogeneous Storage  ,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'assign', 'block', 'assign']"
HDFS-15915,Race condition with async edits logging due to updating txId outside of the namesystem log,['server']
HDFS-14681,RBF: TestDisableRouterQuota failed because port 8888 was occupied,"['server', 'server']"
HDFS-14722,RBF: GetMountPointStatus should return mountTable information when getFileInfoAll throw IOException,['cluster']
HDFS-13671,Namenode deletes large dir slowly caused by FoldedTreeSet#removeAndGet,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-15226,Ranger integrates HDFS and discovers NPE,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-14459,ClosedChannelException silently ignored in FsVolumeList.addBlockPool(),"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'replica', 'replica', 'replica', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-16826,[RBF SBN] ConnectionManager should advance the client stateId for every request,"['connection', 'connection', 'connection', 'connection']"
HDFS-14527,Stop all DataNodes may result in NN terminate,"['node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-14509,DN throws InvalidToken due to inequality of password when upgrade NN 2.x to 3.x,"['cluster', 'block', 'block']"
HDFS-16935,TestFsDatasetImpl.testReportBadBlocks brittle,"['node', 'delay', 'cluster', 'cluster', 'block', 'block', 'race']"
HDFS-16420,Avoid deleting unique data blocks when deleting redundancy striped blocks,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'restart']"
HDFS-16544,EC decoding failed due to invalid buffer,"['block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'corrupt', 'corrupt']"
