Issue_key,keyword
CASSANDRA-14088,"['message', 'message', 'race', 'server']"
CASSANDRA-15912,['fail']
CASSANDRA-14173,"['node', 'remote', 'remote', 'remote', 'server', 'server', 'server']"
CASSANDRA-18218,"['node', 'node', 'delay', 'cluster', 'consistent', 'connection', 'fail']"
CASSANDRA-15193,"['node', 'node', 'node', 'node', 'node', 'client', 'client', 'client', 'connection', 'fail']"
CASSANDRA-17733,"['partition', 'partition']"
CASSANDRA-15153,"['fail', 'fail']"
CASSANDRA-16071,"['node', 'cluster', 'crash']"
CASSANDRA-14444,"['cluster', 'message', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition']"
CASSANDRA-15310,['fail']
CASSANDRA-13696,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'corrupt', 'corrupt']"
CASSANDRA-13346,['node']
CASSANDRA-15385,['connection']
CASSANDRA-17612,"['node', 'node', 'client', 'fail', 'fail', 'fail', 'fail', 'fail', 'server', 'restart']"
CASSANDRA-17039,"['consistent', 'fail', 'fail', 'fail']"
CASSANDRA-16280,"['consistent', 'remote', 'client', 'client', 'fail', 'fail']"
CASSANDRA-17619,"['node', 'node', 'node', 'restart', 'restart']"
CASSANDRA-14057,['message']
CASSANDRA-13740,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'fail', 'race', 'race']"
CASSANDRA-14422,"['node', 'fail']"
CASSANDRA-15295,"['node', 'block', 'block', 'lock', 'lock', 'lock', 'lock', 'lock']"
CASSANDRA-17084,['fail']
CASSANDRA-17630,['race']
CASSANDRA-15432,"['node', 'meta']"
CASSANDRA-15041,"['client', 'fail', 'fail', 'fail', 'lock', 'lock', 'message', 'race', 'server']"
CASSANDRA-14554,"['fail', 'fail', 'parallel', 'parallel']"
CASSANDRA-17885,"['node', 'fail']"
CASSANDRA-15499,"['node', 'node', 'consistent', 'message', 'message', 'message', 'race', 'race', 'race']"
CASSANDRA-14647,"['node', 'client', 'fail', 'fail', 'message', 'message', 'meta', 'meta', 'region', 'region', 'region']"
CASSANDRA-18113,"['cluster', 'race', 'race']"
CASSANDRA-16359,"['remote', 'remote', 'fail', 'fail']"
CASSANDRA-17454,"['node', 'cluster', 'fail', 'fail', 'fail', 'fail', 'message', 'race', 'race', 'server']"
CASSANDRA-14415,"['node', 'cluster']"
CASSANDRA-17563,"['node', 'fail', 'parallel']"
CASSANDRA-17912,"['node', 'fail', 'parallel']"
CASSANDRA-13592,"['message', 'partition', 'race', 'server']"
CASSANDRA-16713,"['fail', 'fail']"
CASSANDRA-15072,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'replica', 'replica', 'partition', 'partition']"
CASSANDRA-17217,"['distributed', 'fail', 'fail', 'fail']"
CASSANDRA-18046,"['node', 'node', 'node', 'node', 'node', 'network', 'network', 'network', 'network', 'network', 'replica', 'replica', 'replica', 'replica', 'replica', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail']"
CASSANDRA-17908,['fail']
CASSANDRA-16619,"['node', 'node', 'node', 'node', 'node', 'meta', 'meta', 'region', 'restart']"
CASSANDRA-14919,"['node', 'node', 'cluster', 'cluster', 'replica', 'replica']"
CASSANDRA-15269,"['fail', 'fail', 'message']"
CASSANDRA-13717,"['cluster', 'cluster', 'cluster', 'cluster', 'fail', 'fail', 'fail', 'message']"
CASSANDRA-17349,"['node', 'race']"
CASSANDRA-14050,"['node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'connection', 'partition', 'partition']"
CASSANDRA-13719,"['partition', 'partition']"
CASSANDRA-17474,['crash']
CASSANDRA-14956,"['partition', 'partition', 'partition']"
CASSANDRA-14988,"['fail', 'fail']"
CASSANDRA-16511,"['fail', 'parallel', 'parallel']"
CASSANDRA-16095,"['node', 'node', 'race', 'restart']"
CASSANDRA-15367,"['block', 'block', 'block', 'lock', 'lock', 'lock', 'lock', 'partition', 'partition', 'partition']"
CASSANDRA-18088,['race']
CASSANDRA-15937,"['node', 'node', 'client', 'fail', 'message']"
CASSANDRA-13384,"['node', 'fail']"
